ticket_id,row_type,date,sport,league,sportsbook,bet_type,total_legs,parlay_odds,stake_usd,units,is_bonus_bet,boost_used,boost_percent,event,market,selection,line,leg_odds,same_game_parlay,correlated_leg,ev_percent,fair_odds,kelly_percent,result,payout_usd,closing_line,reason,clv_notes,postmortem
DK639093614995995572,slip,3/17/26,Basketball,NCAAM,DraftKings,parlay,2,290,10,2,TRUE,FALSE,,NC State vs Texas / Miami OH vs SMU,2-pick parlay,Texas ML + Miami OH +6.5,,,FALSE,FALSE,,,,Win,29.04,,,,
DK639093614995995572,leg,3/17/26,Basketball,NCAAM,DraftKings,parlay,2,290,10,2,TRUE,FALSE,,NC State vs Texas,Moneyline,Texas,,100,FALSE,FALSE,,,,Win,,,,,
DK639093614995995572,leg,3/17/26,Basketball,NCAAM,DraftKings,parlay,2,290,10,2,TRUE,FALSE,,Miami OH vs SMU,Spread,Miami OH,6.5,-105,FALSE,FALSE,,,,Win,,,,,
DK639093612131602811,slip,3/17/26,Basketball,NCAAM,DraftKings,single,1,-105,5,1,FALSE,FALSE,,Miami OH vs SMU,Single,Miami OH +6.5,,,FALSE,FALSE,,,,Win,9.76,,,,
DK639093612131602811,leg,3/17/26,Basketball,NCAAM,DraftKings,single,1,-105,5,1,FALSE,FALSE,,Miami OH vs SMU,Spread,Miami OH,6.5,-105,FALSE,FALSE,,,,Win,,,,,
DK639094880851369392,slip,3/18/26,Basketball,NCAAM,DraftKings,parlay,2,239,5,1,FALSE,TRUE,100,McNeese vs Vanderbilt / Texas A&M vs Saint Mary's,2-pick parlay,McNeese +16.5 + Texas A&M +6.5,,,FALSE,FALSE,,,,Win,16.95,,,,
DK639094880851369392,leg,3/18/26,Basketball,NCAAM,DraftKings,parlay,2,239,5,1,FALSE,TRUE,100,McNeese vs Vanderbilt,Spread Alternate - NCAAB,McNeese,16.5,-247,FALSE,FALSE,,,,Win,,,,,
DK639094880851369392,leg,3/18/26,Basketball,NCAAM,DraftKings,parlay,2,239,5,1,FALSE,TRUE,100,Texas A&M vs Saint Mary's,Spread Alternate - NCAAB,Texas A&M,6.5,-178,FALSE,FALSE,,,,Win,,,,,
DK639095440825883008,slip,3/19/26,Basketball,NCAAM,DraftKings,parlay,2,304,5,1,FALSE,TRUE,100,Hofstra vs Alabama / Akron vs Texas Tech,2-pick parlay,Hofstra +15.5 + Texas Tech -5.5,,,FALSE,FALSE,,,,Loss,0,,,,
DK639095440825883008,leg,3/19/26,Basketball,NCAAM,DraftKings,parlay,2,304,5,1,FALSE,TRUE,100,Hofstra vs Alabama,Spread Alternate - NCAAB,Hofstra,15.5,-199,FALSE,FALSE,,,,Loss,,,,,
DK639095440825883008,leg,3/19/26,Basketball,NCAAM,DraftKings,parlay,2,304,5,1,FALSE,TRUE,100,Akron vs Texas Tech,Spread Alternate - NCAAB,Texas Tech,-5.5,-148,FALSE,FALSE,,,,Win,,,,,
DK639096190387042932,slip,3/20/26,Basketball,NCAAM,DraftKings,single,1,360,5,1,FALSE,TRUE,20,NCAA Tournament Buzzer Beaters,Special,Yes: Will There Be a Buzzer Beater in the 2026 Men's NCAA Tournament?,,360,FALSE,FALSE,,,,Win,23,,,,
DK639096190387042932,leg,3/20/26,Basketball,NCAAM,DraftKings,single,1,360,5,1,FALSE,TRUE,20,NCAA Tournament Buzzer Beaters,Special,Yes,Will There Be a Buzzer Beater in the 2026 Men's NCAA Tournament?,360,FALSE,FALSE,,,,Win,,,,,
DK639096224035837243,slip,3/20/26,Basketball,NCAAM,DraftKings,single,1,105,6.75,1.35,FALSE,FALSE,,Akron vs Texas Tech,Single,Christian Anderson 20+ points,,,FALSE,FALSE,,,,Loss,0,,,,
DK639096224035837243,leg,3/20/26,Basketball,NCAAM,DraftKings,single,1,105,6.75,1.35,FALSE,FALSE,,Akron vs Texas Tech,Live Player Prop,Christian Anderson,20+,105,FALSE,FALSE,,,,Loss,,,,,
DK639096298561972272,slip,3/20/26,Basketball,NCAAM,DraftKings,parlay,2,187,6.75,1.35,TRUE,FALSE,,Wright State vs Virginia / Utah State vs Villanova,2-pick parlay,Wright State +6.5 + Villanova +3.5,,,FALSE,FALSE,,,,Loss,0,,,,
DK639096298561972272,leg,3/20/26,Basketball,NCAAM,DraftKings,parlay,2,187,6.75,1.35,TRUE,FALSE,,Wright State vs Virginia,Live Spread,Wright State,6.5,-125,FALSE,FALSE,,,,Loss,,,,,
DK639096298561972272,leg,3/20/26,Basketball,NCAAM,DraftKings,parlay,2,187,6.75,1.35,TRUE,FALSE,,Utah State vs Villanova,Spread Alternate - NCAAB,Villanova,3.5,-167,FALSE,FALSE,,,,Loss,,,,,
DK639096479844332828,slip,3/20/26,Basketball,NCAAM,DraftKings,sgp,3,158,12.5,2.5,TRUE,FALSE,,California Baptist vs Kansas,3-pick same-game parlay,Kansas ML + Under 141.5 + Dominique Daniels 15+ points,,,TRUE,TRUE,,,,Win,19.75,,,,
DK639096479844332828,leg,3/20/26,Basketball,NCAAM,DraftKings,sgp,3,158,12.5,2.5,TRUE,FALSE,,California Baptist vs Kansas,Moneyline,Kansas,,-225,TRUE,TRUE,,,,Win,,,,,
DK639096479844332828,leg,3/20/26,Basketball,NCAAM,DraftKings,sgp,3,158,12.5,2.5,TRUE,FALSE,,California Baptist vs Kansas,Total,Under,141.5,,TRUE,TRUE,,,,Win,,,,,
